,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region,Unnamed: 21,Unnamed: 22,lon_fix,lat_fix
0,47.673.529.442.491.800,920.261.957.647.096,"1,62023E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20261,47.67352
1,47.737.705,9.061.638,"1,62248E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Ca. 50 cm,0,Konstanz,,,9.06163,47.7377
2,47.740.253,9.057.031,"1,62248E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.05703,47.74025
3,47.742.439,9.039.842,"1,62248E+12",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Camper,0,Konstanz,,,9.03984,47.74243
4,47.740.076,9.028.393,"1,62248E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.02839,47.74007
5,47.745.677,8.983.099,"1,62248E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Konstanz,,,8.98309,47.74567
6,47.743.353,8.979.653,"1,62248E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,8.97965,47.74335
7,47.742.754,8.978.930,"1,62248E+12",2,0,0,0,8,0,0,0,0,0,0,1,0,0,0,Durch parken Radfahrer Streifen blockiert ,0,Konstanz,,,8.97893,47.74275
8,47.685.114,9.154.793,"1,62161E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Ca. 70 cm,0,Konstanz,,,9.15479,47.68511
9,47.682.846,9.158.161,"1,62161E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Ca. 70 cm,0,Konstanz,,,9.15816,47.68284
10,47.673.711.420.104.500,9.202.932.436.614.850,"1,62176E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.20293,47.67371
11,4.768.869.312.945.750,9.159.824.587.404.720,"1,62152E+12",0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,Verkehrsschild (Baustelle)\n mitten auf dem Radweg.\n\n\n\n\n,0,Konstanz,,,9.15982,47.68869
12,47.676.773,9.158.946,"1,6216E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Ca. 50 cm seitlicher Abstand ,0,Konstanz,,,9.15894,47.67677
13,47.676.273,9.160.161,"1,6216E+12",2,0,0,0,8,0,0,0,0,0,0,1,0,0,0,Vorfahrt missachtet ,0,Konstanz,,,9.16016,47.67627
14,47.672.863,9.177.607,"1,6216E+12",2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1776,47.67286
15,47.672.570,9.180.601,"1,6216E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ca 1m seitlicher Abstand ,0,Konstanz,,,9.1806,47.67257
16,4.768.280.687,920.313.797,"1,64008E+12",1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20313,47.6828
17,47.674.649,9.170.378,"1,61648E+12",2,0,0,0,8,0,0,0,1,0,0,0,0,0,0,Stehendes Fahrzeug der Stadtwerke blockiert Radweg bis auf 80cm freie Breite ,0,Konstanz,,,9.17037,47.67464
18,47.682.513.333.333.300,9.174.423.333.333.330,"1,61608E+12",0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.17442,47.68251
19,47.673.811,9.168.227,"1,61685E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16822,47.67381
