lon;lat;count
9.2195768;47.725231;4
9.2192688;47.725414;6
9.219511;47.725384;4
9.2184105;47.725811;1
9.2182341;47.725685;4
9.2184763;47.725658;6
9.2189608;47.725597;3
9.219203;47.725567;1
9.2187853;47.725471;2
9.2190266;47.725445;4
9.2187185;47.725628;4
9.217926;47.725868;5
9.2181683;47.725842;4
9.2179928;47.725716;1
9.2176838;47.725899;5
9.2198191;47.725201;4
9.2197533;47.725353;3
9.2124968;47.697525;4
9.212122;47.697865;6
9.2120552;47.698017;5
9.2126293;47.697216;6
9.2125626;47.697372;5
9.2122545;47.697556;4
9.2121878;47.697708;5
9.2131367;47.696571;6
9.2132025;47.696419;6
9.2130699;47.696724;4
9.2127619;47.696911;4
9.2130032;47.69688;3
9.2128277;47.696754;2
9.2126951;47.697063;6
9.2117472;47.6982;5
9.2119894;47.69817;2
9.2116804;47.698357;6
9.2118139;47.698048;2
9.2115479;47.698662;2
9.2113724;47.69854;2
9.2116146;47.698509;5
9.2113066;47.698692;5
9.2143497;47.694817;6
9.2144165;47.694664;6
9.214283;47.694973;5
9.2147245;47.694481;2
9.2145491;47.694355;3
9.2147903;47.694324;3
9.2144823;47.694511;4
9.213975;47.695156;2
9.2142172;47.695126;4
9.2140417;47.695004;1
9.2139091;47.695309;3
9.2141504;47.695282;3
9.2137098;47.69577;6
9.2136431;47.695927;4
9.2138424;47.695465;4
9.2137766;47.695618;6
9.2140846;47.695435;2
9.2135105;47.696236;1
9.213335;47.69611;3
9.2135773;47.696079;5
9.2132692;47.696262;4
9.2134018;47.695957;1
9.2101593;47.700291;5
9.2104006;47.700264;1
9.2100925;47.700447;6
9.2102919;47.699986;2
9.2102251;47.700138;3
9.2105331;47.699955;2
9.2104673;47.700108;3
9.2097845;47.70063;5
9.2097178;47.700783;6
9.2098503;47.700478;4
9.2107992;47.699337;5
9.2110405;47.69931;2
9.210865;47.699184;2
9.2107325;47.699493;5
9.211174;47.699001;6
9.2112398;47.698845;5
9.2111073;47.699154;2
9.2109318;47.699032;2
9.2104244;47.699677;2
9.2106667;47.699646;5
9.2103577;47.699829;5
9.2105999;47.699799;2
9.2095852;47.701092;4
9.2096519;47.700939;6
9.209343;47.701122;4
9.2092104;47.701431;6
9.2092772;47.701275;5
9.2091446;47.701584;5
9.2172499;47.714146;4
9.2170744;47.71402;4
9.2176018;47.714394;5
9.2178431;47.714363;1
9.2174253;47.714268;4
9.2167234;47.713772;4
9.216548;47.71365;4
9.2168989;47.713898;4
9.2160206;47.713276;4
9.2158451;47.71315;5
9.2163715;47.713524;5
9.2161961;47.713402;4
