Zeit;Fahrradbrücke;Fahrradbrücke stadteinwärts;Fahrradbrücke stadtauswärts
08.08.2018 00:00;111;37;74
08.08.2018 01:00;49;9;40
08.08.2018 02:00;25;9;16
08.08.2018 03:00;11;2;9
08.08.2018 04:00;9;6;3
08.08.2018 05:00;41;24;17
08.08.2018 06:00;127;81;46
08.08.2018 07:00;271;135;136
08.08.2018 08:00;450;238;212
08.08.2018 09:00;423;246;177
08.08.2018 10:00;328;187;141
08.08.2018 11:00;395;204;191
08.08.2018 12:00;521;261;260
08.08.2018 13:00;466;236;230
08.08.2018 14:00;575;271;304
08.08.2018 15:00;593;280;313
08.08.2018 16:00;766;359;407
08.08.2018 17:00;774;373;401
08.08.2018 18:00;743;340;403
08.08.2018 19:00;617;316;301
08.08.2018 20:00;474;235;239
08.08.2018 21:00;357;166;191
08.08.2018 22:00;330;111;219
08.08.2018 23:00;251;69;182
09.08.2018 00:00;146;22;124
09.08.2018 01:00;63;22;41
09.08.2018 02:00;26;9;17
09.08.2018 03:00;11;7;4
09.08.2018 04:00;9;3;6
09.08.2018 05:00;47;25;22
09.08.2018 06:00;140;88;52
09.08.2018 07:00;351;185;166
09.08.2018 08:00;549;299;250
09.08.2018 09:00;532;311;221
09.08.2018 10:00;449;236;213
09.08.2018 11:00;528;231;297
09.08.2018 12:00;607;256;351
09.08.2018 13:00;543;253;290
09.08.2018 14:00;519;234;285
09.08.2018 15:00;639;319;320
09.08.2018 16:00;755;346;409
09.08.2018 17:00;832;357;475
09.08.2018 18:00;597;246;351
09.08.2018 19:00;422;208;214
09.08.2018 20:00;272;129;143
09.08.2018 21:00;201;80;121
09.08.2018 22:00;205;97;108
09.08.2018 23:00;144;56;88
10.08.2018 00:00;99;20;79
10.08.2018 01:00;45;8;37
10.08.2018 02:00;22;11;11
10.08.2018 03:00;6;5;1
10.08.2018 04:00;3;2;1
10.08.2018 05:00;32;12;20
10.08.2018 06:00;114;73;41
10.08.2018 07:00;199;107;92
10.08.2018 08:00;347;201;146
10.08.2018 09:00;363;224;139
10.08.2018 10:00;441;251;190
10.08.2018 11:00;490;270;220
10.08.2018 12:00;499;244;255
10.08.2018 13:00;528;247;281
10.08.2018 14:00;566;280;286
10.08.2018 15:00;597;282;315
10.08.2018 16:00;737;344;393
10.08.2018 17:00;657;326;331
10.08.2018 18:00;651;307;344
10.08.2018 19:00;547;265;282
10.08.2018 20:00;467;242;225
10.08.2018 21:00;375;219;156
10.08.2018 22:00;293;89;204
10.08.2018 23:00;246;55;191
11.08.2018 00:00;234;40;194
11.08.2018 01:00;110;16;94
11.08.2018 02:00;67;18;49
11.08.2018 03:00;54;23;31
11.08.2018 04:00;27;11;16
11.08.2018 05:00;28;17;11
11.08.2018 06:00;68;42;26
11.08.2018 07:00;92;47;45
11.08.2018 08:00;209;116;93
11.08.2018 09:00;365;232;133
11.08.2018 10:00;530;294;236
11.08.2018 11:00;638;329;309
11.08.2018 12:00;615;329;286
11.08.2018 13:00;750;328;422
11.08.2018 14:00;951;349;602
11.08.2018 15:00;965;379;586
11.08.2018 16:00;925;340;585
11.08.2018 17:00;987;466;521
11.08.2018 18:00;936;452;484
11.08.2018 19:00;834;401;433
11.08.2018 20:00;725;355;370
11.08.2018 21:00;593;260;333
11.08.2018 22:00;279;147;132
11.08.2018 23:00;931;483;448
12.08.2018 00:00;499;214;285
12.08.2018 01:00;284;83;201
12.08.2018 02:00;168;41;127
12.08.2018 03:00;110;41;69
12.08.2018 04:00;34;18;16
12.08.2018 05:00;34;19;15
12.08.2018 06:00;30;12;18
12.08.2018 07:00;58;32;26
12.08.2018 08:00;86;45;41
12.08.2018 09:00;236;128;108
