Zeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gef�hlte Temperatur (°C);Regen (mm)
08.08.2018 00:00;111;37;74;Leicht bewoelkt;21;21;0
08.08.2018 01:00;49;9;40;Leicht bewoelkt;20;20;0
08.08.2018 02:00;25;9;16;Leicht bewoelkt;20;20;0
08.08.2018 03:00;11;2;9;Leicht bewoelkt;19;19;0
08.08.2018 04:00;9;6;3;Leicht bewoelkt;20;20;0
08.08.2018 05:00;41;24;17;Leicht bewoelkt;20;20;0
08.08.2018 06:00;127;81;46;Leicht bewoelkt;20;20;0
08.08.2018 07:00;271;135;136;Leicht bewoelkt;21;21;0
08.08.2018 08:00;450;238;212;Stellenweiser Regenfall;23;23;0
08.08.2018 09:00;423;246;177;Stellenweiser Regenfall;24;25;0
08.08.2018 10:00;328;187;141;Stellenweiser Regenfall;25;26;0
08.08.2018 11:00;395;204;191;Leicht bewoelkt;27;27;0
08.08.2018 12:00;521;261;260;Leicht bewoelkt;28;29;0
08.08.2018 13:00;466;236;230;Leicht bewoelkt;28;29;0
08.08.2018 14:00;575;271;304;Leicht bewoelkt;29;30;0
08.08.2018 15:00;593;280;313;Leicht bewoelkt;29;31;0
08.08.2018 16:00;766;359;407;Leicht bewoelkt;29;30;0
08.08.2018 17:00;774;373;401;Stellenweise Gewitter und Niederschlaege;28;30;0
08.08.2018 18:00;743;340;403;Stellenweise Gewitter und Niederschlaege;28;30;0
08.08.2018 19:00;617;316;301;Stellenweise Gewitter und Niederschlaege;26;29;0
08.08.2018 20:00;474;235;239;Leichter Regenschauer;25;28;0
08.08.2018 21:00;357;166;191;Leichter Regenschauer;24;28;0
08.08.2018 22:00;330;111;219;Leichter Regenschauer;22;25;0
08.08.2018 23:00;251;69;182;Stellenweiser Regenfall;21;21;0
09.08.2018 00:00;146;22;124;Stellenweiser Regenfall;20;20;0
09.08.2018 01:00;63;22;41;Stellenweiser Regenfall;19;19;0
09.08.2018 02:00;26;9;17;Leicht bewoelkt;18;18;0
09.08.2018 03:00;11;7;4;Leicht bewoelkt;18;18;0
09.08.2018 04:00;9;3;6;Leicht bewoelkt;18;18;0
09.08.2018 05:00;47;25;22;Leicht bewoelkt;19;19;0
09.08.2018 06:00;140;88;52;Leicht bewoelkt;19;19;0
09.08.2018 07:00;351;185;166;Leicht bewoelkt;21;21;0
09.08.2018 08:00;549;299;250;Bewoelkt;22;22;0
09.08.2018 09:00;532;311;221;Bewoelkt;23;24;0
09.08.2018 10:00;449;236;213;Bewoelkt;25;27;0
09.08.2018 11:00;528;231;297;Bedeckt;28;30;0
09.08.2018 12:00;607;256;351;Bedeckt;30;32;0
09.08.2018 13:00;543;253;290;Bedeckt;31;32;0
09.08.2018 14:00;519;234;285;Sonnig;31;32;0
09.08.2018 15:00;639;319;320;Sonnig;31;33;0
09.08.2018 16:00;755;346;409;Sonnig;30;32;1
09.08.2018 17:00;832;357;475;Leicht bewoelkt;29;31;1
